sending_facility,sending_facility_oid
OD DEL NORTE,1.2.840.114350.1.13.66.2.7.2.696570.29001
PROVIDENCE HOSPICE,1.2.840.114350.1.13.297.2.7.2.696570.40
RRMC X-Ray Imaging,1.2.840.114350.1.13.333.2.7.2.696570.10
PROVIDENCE WILLAMETTE FALLS SPIRITUAL CARE,1.2.840.114350.1.13.297.2.7.2.696570.40
DC SOUTH COUNTY,1.2.840.114350.1.13.66.2.7.2.696570.14010
PROVIDENCE PORTLAND MED CTR IV THERAPY,1.2.840.114350.1.13.297.2.7.2.696570.40
RRMC Cardiovascular Recovery,1.2.840.114350.1.13.333.2.7.2.696570.10
PROV STV HCC BRIDGEPORT,1.2.840.114350.1.13.297.2.7.2.696570.405656
Valley Immediate Care South Medford,
PMG SCHOLLS FAMILY MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.405566
RRMC Endoscopy Operating Room,1.2.840.114350.1.13.333.2.7.2.696570.10
DC SCHOOL BASED HEALTH CENTERS,1.2.840.114350.1.13.66.2.7.2.696570.14005
PMG DOCTORS CLINIC XRAY,1.2.840.114350.1.13.297.2.7.2.696570.40
Sacramento County Primary Care,1.2.840.114350.1.13.66.2.7.2.696570.174
Asante Three Rivers Medical Center - Laboratory Services,1.2.840.114350.1.13.333.2.7.2.696570.10
PROVIDENCE SEASIDE HOSPITAL PROV CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV WOMENS CLINIC E PORTLAND,1.2.840.114350.1.13.297.2.7.2.696570.405589
PMG Grants Pass Physiatry,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MILWAUKIE HOSPITAL BEHAV HLTH SENIOR,1.2.840.114350.1.13.297.2.7.2.696570.40
CC OREGON CITY,1.2.840.114350.1.13.66.2.7.2.696570.10001
PROV Hospitalists WF,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR HEART CLINIC NUCLEAR,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE WILLAMETTE FALLS DIETARY,1.2.840.114350.1.13.297.2.7.2.696570.40
MCMC Cardiology at Klickitat Valley Hospital,1.2.840.114350.1.13.135.2.7.2.696570.31
PROVIDENCE MEDFORD MED CTR ANTICOAG PHARMACOTHERPAY CLN,1.2.840.114350.1.13.297.2.7.2.696570.40
Optimal Health of Southern Oregon,2.16.840.1.113883.3.441.1.50.98054
PROVIDENCE MEDFORD MED CTR ANTICOAG PHARMACOTHERAPY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MEDFORD MED CTR HOSPICE,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG OREGON CITY PRIMARY CARE,1.2.840.114350.1.13.297.2.7.2.696570.40
TRMC Occupational Therapist,1.2.840.114350.1.13.333.2.7.2.696570.10
Mosaic Medical Courtney Clinic,1.2.840.114350.1.13.66.2.7.2.696570.70
PROVIDENCE WILLAMETTE FALLS THERAPY ACUTE,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR EASTSIDE ONC HEMA LAB,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV HH GORGE,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SEASIDE HOSPITAL LABORATORY,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Cancer Survivor Clinic,1.2.840.114350.1.13.297.2.7.2.696570.40
RRMC MRI Imaging,1.2.840.114350.1.13.333.2.7.2.696570.10
Mid-Columbia Urology at Nichol's Landing,1.2.840.114350.1.13.135.2.7.2.696570.31
PMI SAN PEDRO PRIMARY CARE,1.2.840.114350.1.13.297.2.7.2.696570.503505
PEC PATIENT ENGAGEMENT CENTER ORCA,1.2.840.114350.1.13.297.2.7.2.696570.400101
PROVIDENCE SAINT VINCENT MED CTR SURGICAL 8E,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR BEH HLTH ADOLES,1.2.840.114350.1.13.297.2.7.2.696570.40
APP ICU,1.2.840.114350.1.13.333.2.7.2.696570.10
Mid-Columbia Cardiology at Nichol's Landing,1.2.840.114350.1.13.135.2.7.2.696570.31
LC RIVERSTONE,1.2.840.114350.1.13.66.2.7.2.696570.12001
PATIENT ENGAGEMENT CENTER ORCA,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MEDFORD ORTHOPEDIC THERAPY,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG MEDFORD PEDIATRICS PSYCHOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
Portland Neurosurgery,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV OR CENTRAL SCHEDULING - HOSPICE,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Scholls IC Chart Correction,1.2.840.114350.1.13.297.2.7.2.696570.40
TRMC General Medicine,1.2.840.114350.1.13.333.2.7.2.696570.10
PROVIDENCE ST VINCENT MED CTR PERINATAL SPEC CARE UNIT,1.2.840.114350.1.13.297.2.7.2.696570.40
Asante Ashland Community Hospital Anesthesia,1.2.840.114350.1.13.333.2.7.2.696570.10
PROVIDENCE HEART CLINIC WEST ST VINCENT,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART CLINIC EAST GATEWAY 201,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART CLINIC MEDFORD,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART CLINIC WEST BRIDGEPORT,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART RHYTHM CLINIC WEST ST VINCENT,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART CLINIC WEST NEWBERG,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART CLINIC EAST GATEWAY 102,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART CLINIC EAST GRESHAM,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART CLINIC WEST MILL PLAIN,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVICENCE HEART RHYTHM CLINIC GATEWAY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART CLINIC EAST MILWAUKIE,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART CLINIC WEST MCMINNVILLE,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART CLINIC WEST VALVE,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART CLINIC WEST CV SURGERY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART CLINIC EAST CV SURGERY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART CLINIC WEST VAD,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART CLINIC EAST WILLAMETTE FALLS,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART RHYTHM CLINIC SPRINGFIELD,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART RHYTHM WEST WILLAMETTE FALLS,1.2.840.114350.1.13.297.2.7.2.696570.40
MOSAIC MEDICAL BEND PEDIATRICS,1.2.840.114350.1.13.66.2.7.2.696570.70
PROVIDENCE HEART RHYTHM CLINIC ASTORIA,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART RHYTHM CLINIC WEST NEWBERG,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MEDFORD MED CTR IRF,1.2.840.114350.1.13.297.2.7.2.696570.40
Mid-Columbia Urology at Nichols Landing,1.2.840.114350.1.13.135.2.7.2.696570.31
Mid-Columbia Physical Therapy at Nichols Landing,1.2.840.114350.1.13.135.2.7.2.696570.31
PROVIDENCE PORTLAND MED CTR CARDIAC TELEMETRY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART RHYTHM CLINIC MEDFORD,1.2.840.114350.1.13.297.2.7.2.696570.40
Mid-Columbia Cardiology at Nichols Landing,1.2.840.114350.1.13.135.2.7.2.696570.31
Mid-Columbia Occupational Therapy at Nichols Landing,1.2.840.114350.1.13.135.2.7.2.696570.31
Rogue Community Health White City,1.2.840.114350.1.13.66.2.7.2.696570.1
Grants Pass Clinic,1.2.840.114350.1.13.333.2.7.2.696570.10
Pathology at Medical Office Building,1.2.840.114350.1.13.135.2.7.2.696570.31
Mid-Columbia Speech Therapy at Nichols Landing,1.2.840.114350.1.13.135.2.7.2.696570.31
Acute Rehab at MCMC Hospital,1.2.840.114350.1.13.135.2.7.2.696570.31
Initial Department,1.2.840.114350.1.13.66.2.7.2.696570.1
NW Urological Clnc Peds,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Health and Services Infection Control,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Cedar Mill Family Medicine,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART CLINIC ASHLAND,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Bridgeport Occupational Med,1.2.840.114350.1.13.297.2.7.2.696570.40
OPH OB Triage,1.2.840.114350.1.13.297.2.7.2.696570.40
Columbia Gorge ENT at Wood's Court,1.2.840.114350.1.13.135.2.7.2.696570.31
Columbia Gorge ENT at Columbia View Clinic,1.2.840.114350.1.13.135.2.7.2.696570.31
HOOD RIVER COUNTY HEALTH DEPT,
NORTH CENTRAL PUBLIC HEALTH DISTRICT,
NORCOR,
Columbia River Women's Center - Behavioral Health,1.2.840.114350.1.13.135.2.7.2.696570.31
Asante Center for Outpatient Health Surgery,1.2.840.114350.1.13.333.2.7.2.696570.10
Deschutes County Behavioral Health Lapine Community Health,1.2.840.114350.1.13.66.2.7.2.696570.14
SLM INTENSIVE CARE,1.2.840.114350.1.13.333.2.7.2.696570.60
PROVIDENCE PROVIDER HOSPICE WEST,1.2.840.114350.1.13.297.2.7.2.696570.40
WEST LINN PRIMARY CARE,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MILWAUKIE HOSPITAL ICU,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SEASIDE HOSPITAL CLINICAL LABORATORY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV EXPRESS CARE VIRTUAL CA,1.2.840.114350.1.13.297.2.7.2.696570.502507
PROVIDENCE PROVIDER HOSPICE EAST,1.2.840.114350.1.13.297.2.7.2.696570.40
RRMC Dialysis,1.2.840.114350.1.13.333.2.7.2.696570.10
PMG OR DIABETES PREVENTION PROGRAM,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG Psychiatry Clinic West,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART CLINIC GRANTS PASS,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MEDFORD MED CTR,1.2.840.114350.1.13.297.2.7.2.696570.40
RRMC Intermediate Care Unit,1.2.840.114350.1.13.333.2.7.2.696570.10
PROVIDENCE HEART CLINIC WEST BRIDGEPORT ECHO,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART CLINIC WEST TANASBOURNE ECHO,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HOOD RIVER WALK IN CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Oregon City Spine Center,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE CANCER INSTITUTE FRANZ INFUSION PHARMACY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE CANCER INSTITUTE FRANZ INFUSION CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART CLINIC EAST WHITE SALMON,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV HEART CLINIC WEST ST VINCENT,1.2.840.114350.1.13.297.2.7.2.696570.405659
PROV HEART CLINIC E GATEWAY,1.2.840.114350.1.13.297.2.7.2.696570.405644
PROV INFECTIOUS DISEASE CONSULTANTS,1.2.840.114350.1.13.297.2.7.2.696570.405611
OPH PROVIDENCE MATERNAL CARE CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.405141019
PROVIDENCE CANCER SURVIVOR CLINIC EAST,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG HAPPY VALLEY SPORTS MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV MULTIPLE SCLEROSIS CENTER,1.2.840.114350.1.13.297.2.7.2.696570.405606
SLM KLAMATH SURGERY CENTER LAB,1.2.840.114350.1.13.333.2.7.2.696570.60
Legacy Firwood Clinic,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART CLINIC EAST GRESHAM ECHO,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART CLINIC WEST BASECAMP,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR EY PRE OP,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE NEWBERG MED CTR PROVIDER NEUROLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV EXPRESS CARE AT WALGREENS RALEIGH HILLS BEAVERTON,1.2.840.114350.1.13.297.2.7.2.696570.40
OSS WHEELER ORTHOPEDICS,1.2.840.114350.1.13.297.2.7.2.696570.40
Cascade Internal Medicine Specialists,
PMG ENDOCRINOLOGY EAST,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV EC WALGREENS RALEIGH HILLS BEAVERTON,1.2.840.114350.1.13.297.2.7.2.696570.405546
PROVIDENCE MILWAUKIE HOSPITAL PROVIDER CARDIOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG MOLALLA,1.2.840.114350.1.13.297.2.7.2.696570.405541
Providence Medical Group Employee Clinic At the Plaza,1.2.840.114350.1.13.297.2.7.2.696570.40
King Diamond Medical,2.16.840.1.113883.4.6.1234567890
PROV HH MEDFORD,1.2.840.114350.1.13.297.2.7.2.696570.40
THE OR CL PLSTC SRG PSV,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV OR CENTRAL SCHEDULING,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Clackamas Occuptional Med,1.2.840.114350.1.13.297.2.7.2.696570.40
Hood River Dermatology,1.2.840.114350.1.13.135.2.7.2.696570.31
PROV HSP MEDFORD,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PHYSIATRY,1.2.840.114350.1.13.297.2.7.2.696570.405536
PROV HSP GORGE,1.2.840.114350.1.13.297.2.7.2.696570.40
Hood River Orthopedics,1.2.840.114350.1.13.135.2.7.2.696570.31
PMG MEDFORD UROGYNECOLOGY CENTER,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MILWAUKIE HOSPITAL PRE OP,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV EC WALGREENS POWELL AND 182ND,1.2.840.114350.1.13.297.2.7.2.696570.405771
SOUTHERN OREGON CARDIOLOGY,1.3.6.1.4.1.31837.SOUTHERN OREGON CARDIOLOGY
PROV EXPRESS CARE INTERSTATE,1.2.840.114350.1.13.297.2.7.2.696570.405764
PMG HAPPY VALLEY CHART CORR,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG Employee Urgent Care at the Plaza,1.2.840.114350.1.13.297.2.7.2.696570.40
Mosaic Medical Prineville Dental,1.2.840.114350.1.13.66.2.7.2.696570.70
NORTHWEST PRIMARY CARE,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Tanasabourne Occupational Med,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE CENTER FOR WEIGHT MANAGEMENT,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Mill Plain Occupational Med,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE NEWBERG MED CTR PROVIDER CARDIOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE COMPREHENSIVE PAIN SERVICES,1.2.840.114350.1.13.297.2.7.2.696570.40
TODD GILLINGHAM MD LLC,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Willamette Falls Pharmacotherapy Clinic,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE BHI CET HILLSBORO,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MILWAUKIE HOSPITAL PROVIDER OBGYN,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG ASHLAND PULMONARY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MEDFORD MED CTR BLOOD BANK,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL RESP THERAPY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV NEUROLOGICAL SPECIALTIES EAST PALLIATIVE CARE,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV EXPRESS CARE KRUSE WAY,1.2.840.114350.1.13.297.2.7.2.696570.405755
DAVITA REDWOOD DIALYSIS SERVIC,1.3.6.1.4.1.22812.4.10008636.0.0
PROV HH BENEDICTINE,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV SEASIDE PEDIATRIC NEUROLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
Pain Specialists of Southern Oregon,1.2.840.114350.1.13.333.2.7.2.696570.23
PROV HH BENEDICTINE  SOUTH,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Pediatric Endocrinology East,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Pediatric Neurology East,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV HSP BENEDICTINE,1.2.840.114350.1.13.297.2.7.2.696570.40
Business Office,1.3.6.1.4.1.22812.3.6019501.3.3
Podiatry,1.3.6.1.4.1.22812.3.6019501.3.3
CJN E HELD BLDG,1.2.840.114350.1.13.297.2.7.2.696570.503161001
,
PROV HH BENEDICTINE SOUTH,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Pediatric Surgery East,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR PATHOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
Occupational Health Lab,1.2.840.114350.1.13.135.2.7.2.696570.31
La Clinica at Kids Unlimited Academy,1.2.840.114350.1.13.66.2.7.2.696570.30
PMG PLAZA OCCUPATIONAL MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE CANCER INSTITUTE FRANZ LIVER CANCER CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE CANCER INSTITUTE FRANZ BREAST CARE CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE CANCER INSTITUTE FRANZ DYSPLASIA CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE CANCER INSTITUTE FRANZ THORACIC SURGERY CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
Asante Imaging,
PROVIDENCE EXPRESS CARE AT WALGREENS TIGARD,1.2.840.114350.1.13.297.2.7.2.696570.40
La Clinica at Jewett Elementary,1.2.840.114350.1.13.66.2.7.2.696570.30
PROVIDENCE MEDFORD MED CTR CV PRE OP,1.2.840.114350.1.13.297.2.7.2.696570.40
TRMC Respiratory Therapy,1.2.840.114350.1.13.333.2.7.2.696570.10
La Clinica at Crater High School,1.2.840.114350.1.13.66.2.7.2.696570.30
La Clinica at Oak Grove Elementary,1.2.840.114350.1.13.66.2.7.2.696570.30
La Clinica at Jackson Elementary,1.2.840.114350.1.13.66.2.7.2.696570.30
La Clinica at Scenic Middle School,1.2.840.114350.1.13.66.2.7.2.696570.30
PROVIDENCE CANCER INSTITUTE FRANZ HEMETALOGY ONCOLOGY CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
La Clinica at Mae Rich Elementary,1.2.840.114350.1.13.66.2.7.2.696570.30
La Clinica at Central Point Elementary,1.2.840.114350.1.13.66.2.7.2.696570.30
La Clinica at Phoenix Elementary,1.2.840.114350.1.13.66.2.7.2.696570.30
PROVIDENCE SAINT VINCENT MED CTR PROVIDER TOC,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE BHI CET TANASBOURNE,1.2.840.114350.1.13.297.2.7.2.696570.40
La Clinica at KU Academy,1.2.840.114350.1.13.66.2.7.2.696570.30
La Clinica at Hanby Middle School,1.2.840.114350.1.13.66.2.7.2.696570.30
La Clinica at Washington Elementary,1.2.840.114350.1.13.66.2.7.2.696570.30
PMG OREGON CITY PSYCHOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV WOMENS CLINIC MILWAUKIE,1.2.840.114350.1.13.297.2.7.2.696570.405621
PROVIDENCE CANCER INSTITUTE FRANZ HEAD AND NECK CANCER CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
Same Day Surgery at MCMC Hospital,
PROV PCI FRANZ ONC HEMA,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV PCI FRANZ HEAD AND NECK,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE CANCER INSTITUTE FRANZ PALLIATIVE CARE CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV PCI FRANZ LIVER CANCER,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE CANCER INSTITUTE FRANZ ORAL ONCOLOGY CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV PCI FRANZ THORACIC SURGERY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV PCI FRANZ BREAST CARE,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE BHI CET BETHANY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV PCI FRANZ GENETIC RISK,1.2.840.114350.1.13.297.2.7.2.696570.40
St Charles Surgical Specialists,1.2.840.114350.1.13.500.2.7.2.688879.98000
St Charles Immediate Care Bend South,1.2.840.114350.1.13.500.2.7.2.688879.98000
St Charles Cancer Center,1.2.840.114350.1.13.500.2.7.2.688879.98000
St Charles Rheumatology,1.2.840.114350.1.13.500.2.7.2.688879.98000
St Charles Heart and Lung Specialists,1.2.840.114350.1.13.500.2.7.2.688879.98000
St Charles School Based Care,1.2.840.114350.1.13.500.2.7.2.688879.98000
St Charles Immediate Care LaPine,1.2.840.114350.1.13.500.2.7.2.688879.98000
St Charles Sleep Center,1.2.840.114350.1.13.500.2.7.2.688879.98000
Harney Diet Counseling Dept,1.2.840.114350.1.13.500.2.7.2.688879.98000
St Charles Family Care Bend,1.2.840.114350.1.13.500.2.7.2.688879.98000
St Charles Family Care Bend South,1.2.840.114350.1.13.500.2.7.2.688879.98000
St Charles Anticoagulation Clinic,1.2.840.114350.1.13.500.2.7.2.688879.98000
St Charles Family Care Redmond,1.2.840.114350.1.13.500.2.7.2.688879.98000
St Charles Center for Womens Health,1.2.840.114350.1.13.500.2.7.2.688879.98000
Harney Surgical Clinic Dept,1.2.840.114350.1.13.500.2.7.2.688879.98000
St Charles Advanced Illness Management,1.2.840.114350.1.13.500.2.7.2.688879.98000
Northwest Renal Clinic NW,1.2.840.114350.1.13.297.2.7.2.696570.40
St Charles Preoperative Medicine Clinic,1.2.840.114350.1.13.500.2.7.2.688879.98000
PROV PCI FRANZ PALLATIVE CARE,1.2.840.114350.1.13.297.2.7.2.696570.40
St Charles Family Care Bend East,1.2.840.114350.1.13.500.2.7.2.688879.98000
PROV PCI FRANZ ORAL ONCOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE CANCER INSTITUTE FRANZ CANCER GENETIC RISK CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
St Charles Infectious Disease,1.2.840.114350.1.13.500.2.7.2.688879.98000
PROV PCI FRANZ DYSPLASIA,1.2.840.114350.1.13.297.2.7.2.696570.40
Bend OP Wound Ostomy Dept,1.2.840.114350.1.13.500.2.7.2.688879.98000
Acute Care at MCMC Hospital,
PROV EXPRESS CARE ORENCO,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE WILLAMETTE FALLS PROVIDER PSYCH,1.2.840.114350.1.13.297.2.7.2.696570.40
OMW HAPPY VALLEY MEDICAL PLAZA,1.2.840.114350.1.13.297.2.7.2.696570.405121003
St Charles Pulmonary Clinic,1.2.840.114350.1.13.500.2.7.2.688879.98000
PROV PCI FRANZ PALLIATIVE CARE,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV PCI FRANZ ONC HEMA,1.2.840.114350.1.13.297.2.7.2.696570.405627
St Charles Family Care Sisters,1.2.840.114350.1.13.500.2.7.2.688879.98000
Gresham Troutdale Family Medical Center,1.2.840.114350.1.13.297.2.7.2.696570.40
Harney Pain Management,1.2.840.114350.1.13.500.2.7.2.688879.98000
St Charles Cancer Center Outreach,1.2.840.114350.1.13.500.2.7.2.688879.98000
Providence Medical Group Cedar Mill Xray,1.2.840.114350.1.13.297.2.7.2.696570.40
Harney Family Care Dept,1.2.840.114350.1.13.500.2.7.2.688879.98000
Childrens Clinic Tualatin,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV EC WALGREENS SALMON CREEK,1.2.840.114350.1.13.297.2.7.2.696570.405772
PROVIDENCE PROVIDER HOSPICE MEDFORD,1.2.840.114350.1.13.297.2.7.2.696570.40
ONE COMMUNITY HEALTH SA68,1.2.840.114350.1.13.66.2.7.2.696570.68
PROVIDENCE SAINT VISCENT MED CTR ANTICOAG PHARCOTHER E PAVILLION,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE WILLAMETTE FALLS MED CTR OP INFUSION,1.2.840.114350.1.13.297.2.7.2.696570.40
Center for Natural Medicine,1.2.840.114350.1.13.297.2.7.2.696570.40
Endoscopy Department at MCMC Hospital,
Initial Department,1.2.840.114350.1.13.333.2.7.2.696570.1
PROVIDENCE SAINT VINCENT MED CTR PHARMACOTHERAPY CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
Aspirus Riverview Hospital &amp; Clinics,
TRMC US Imaging,
Or Reproductive Med PDX W,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG DERMATOLOGIC SPECIALTIES,1.2.840.114350.1.13.297.2.7.2.696570.405638
PROVIDENCE HEART CLINIC EAST PPMC,1.2.840.114350.1.13.297.2.7.2.696570.40
Cascade Physicians-Gresham,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PEDIATRICS EAR NOSE AND THROAT,1.2.840.114350.1.13.297.2.7.2.696570.40
Sunset Family Health Center,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PEDIATRIC UROLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
SKY LAKES WELLNESS CENTER,1.2.840.114350.1.13.333.2.7.2.696570.60
RRMC Pediatrics,1.2.840.114350.1.13.333.2.7.2.696570.10
PROVIDENCE MILWAUKIE HOSPITAL PULMONARY FUNCTION,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SEASIDE HOSPITAL PACU,1.2.840.114350.1.13.297.2.7.2.696570.40
TRMC Main Pharmacy,1.2.840.114350.1.13.333.2.7.2.696570.10
APP HOSPITALISTS GP,1.2.840.114350.1.13.333.2.7.2.696570.10
"Zakir Ali, M.D.",2.16.840.1.113883.4.6.1699727750
PROV BEGINNINGS MATERNITY CASE MGMT,1.2.840.114350.1.13.297.2.7.2.696570.40
"Zakir Ali, M.D.",2.16.840.1.113883.4.6.1952693616
PMG PSYCHIATRY CLINIC WEST CHILD AND ADOLESCENT,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE EXPRESS CARE AT WALGREENS NEWBERG,1.2.840.114350.1.13.297.2.7.2.696570.40
Downtown Health Center,1.2.840.114350.1.13.66.2.7.2.696570.14
RRMC Post Anesthesia Care Unit,1.2.840.114350.1.13.333.2.7.2.696570.10
